Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
VCT 2026: Pacific Kickoff,Main Event,Upper Round 3,Bind,2,47%,53%
VCT 2026: Pacific Kickoff,Main Event,Upper Round 3,Pearl,1,72%,28%
VCT 2026: Pacific Kickoff,Main Event,Upper Round 3,Split,1,50%,50%
VCT 2026: Pacific Kickoff,Main Event,Upper Final,All Maps,5,61%,39%
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Abyss,1,46%,54%
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Bind,1,67%,33%
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Breeze,1,85%,15%
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Corrode,1,50%,50%
VCT 2026: Pacific Kickoff,Main Event,Upper Final,Haven,1,61%,39%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,All Maps,10,52%,48%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,3,55%,45%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,2,57%,43%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Split,2,37%,63%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Abyss,1,41%,59%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Breeze,1,55%,45%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Corrode,1,65%,35%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 2,All Maps,5,46%,54%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 2,Split,2,50%,50%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 2,Bind,1,43%,57%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 2,Breeze,1,31%,69%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 2,Pearl,1,50%,50%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 3,All Maps,6,60%,40%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 3,Pearl,2,51%,49%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 3,Bind,1,62%,38%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 3,Breeze,1,77%,23%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 3,Haven,1,68%,32%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 3,Split,1,50%,50%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 4,All Maps,2,53%,47%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 4,Split,1,43%,57%
VCT 2026: Pacific Kickoff,Main Event,Middle Round 4,Pearl,1,65%,35%
VCT 2026: Pacific Kickoff,Main Event,Middle Final,All Maps,3,61%,39%
VCT 2026: Pacific Kickoff,Main Event,Middle Final,Abyss,1,75%,25%
VCT 2026: Pacific Kickoff,Main Event,Middle Final,Breeze,1,33%,67%
VCT 2026: Pacific Kickoff,Main Event,Middle Final,Pearl,1,65%,35%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 1,All Maps,6,49%,51%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 1,Abyss,1,38%,63%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 1,Bind,1,47%,53%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 1,Breeze,1,61%,39%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 1,Haven,1,32%,68%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 1,Pearl,1,42%,58%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 1,Split,1,82%,18%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 2,All Maps,6,53%,47%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 2,Haven,2,59%,41%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 2,Abyss,1,46%,54%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 2,Bind,1,55%,45%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 2,Breeze,1,25%,75%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 2,Split,1,77%,23%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 3,All Maps,5,45%,55%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 3,Corrode,2,38%,62%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 3,Abyss,1,68%,32%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 3,Breeze,1,47%,53%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 3,Split,1,33%,67%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 4,All Maps,3,44%,56%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 4,Breeze,1,26%,74%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 4,Corrode,1,71%,29%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 4,Haven,1,38%,63%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 5,All Maps,2,51%,49%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 5,Split,1,33%,67%
VCT 2026: Pacific Kickoff,Main Event,Lower Round 5,Haven,1,63%,38%
VCT 2026: Pacific Kickoff,Main Event,Lower Final,All Maps,4,63%,37%
VCT 2026: Pacific Kickoff,Main Event,Lower Final,Breeze,1,39%,61%
VCT 2026: Pacific Kickoff,Main Event,Lower Final,Corrode,1,70%,30%
VCT 2026: Pacific Kickoff,Main Event,Lower Final,Haven,1,81%,19%
VCT 2026: Pacific Kickoff,Main Event,Lower Final,Pearl,1,65%,35%
VCT 2026: Pacific Kickoff,All Stages,All Match Types,All Maps,80,53%,47%
VCT 2026: Pacific Kickoff,All Stages,All Match Types,Split,17,52%,48%
VCT 2026: Pacific Kickoff,All Stages,All Match Types,Haven,13,54%,46%
VCT 2026: Pacific Kickoff,All Stages,All Match Types,Breeze,12,49%,51%
VCT 2026: Pacific Kickoff,All Stages,All Match Types,Bind,11,53%,47%
VCT 2026: Pacific Kickoff,All Stages,All Match Types,Pearl,10,55%,45%
VCT 2026: Pacific Kickoff,All Stages,All Match Types,Corrode,9,58%,42%
VCT 2026: Pacific Kickoff,All Stages,All Match Types,Abyss,8,52%,48%
